Symbol,Score,Entry,Qty,RSI,ROC_20,Target,SL
KARURVYSYA,35.6592,292.55,3,61.8,14.9,336.43,269.15
NATIONALUM,29.4493,384.6,2,65.9,27.82,442.29,353.83
HINDZINC,20.6073,727.2,1,65.0,17.57,836.28,669.02
BANKINDIA,19.2162,163.17,6,62.9,16.62,187.65,150.12
UNIONBANK,19.1652,175.21,5,62.0,17.47,201.49,161.19
SAIL,19.083,155.56,6,61.0,16.01,178.89,143.12
HINDCOPPER,16.445,562.15,1,49.3,15.32,646.47,517.18
JSWSTEEL,16.0095,1222.0,0,61.1,11.84,1405.3,1124.24
APLAPOLLO,15.5065,2060.6,0,65.8,9.11,2369.69,1895.75
MAHABANK,15.485,65.02,15,56.7,14.26,74.77,59.82
MCX,14.897,2418.0,0,61.8,10.54,2780.7,2224.56
TATASTEEL,14.4311,192.28,5,58.1,11.6,221.12,176.9
HINDALCO,14.3883,961.85,1,55.9,11.2,1106.13,884.9
AXISBANK,14.2246,1315.8,0,55.0,6.8,1513.17,1210.54
INDIANB,13.1884,876.7,1,54.1,11.76,1008.21,806.56
ASHOKLEY,12.8907,193.0,5,60.1,10.34,221.95,177.56
SBIN,12.5408,1053.15,0,62.1,9.13,1211.12,968.9
SONACOMS,12.4174,487.8,2,55.1,2.18,560.97,448.78
OIL,12.4128,448.55,2,60.1,10.4,515.83,412.67
JINDALSTEL,11.3806,1080.7,0,50.2,9.11,1242.8,994.24
TECHM,11.2137,1745.1,0,69.4,8.23,2006.86,1605.49
FEDERALBNK,10.1443,284.95,3,69.7,8.39,327.69,262.15
IFCI,10.0801,56.22,17,57.4,9.29,64.65,51.72
INDUSINDBK,10.041,894.75,1,44.3,6.57,1028.96,823.17
MRPL,9.6834,156.35,6,56.4,8.42,179.8,143.84
JINDALSAW,8.5494,178.19,5,54.6,7.86,204.92,163.93
BALKRISIND,8.3986,2418.2,0,56.2,4.81,2780.93,2224.74
ONGC,8.3699,247.95,4,57.1,5.59,285.14,228.11
VENTIVE,8.2633,737.2,1,38.3,2.37,847.78,678.22
NTPC,8.2327,344.7,2,44.5,5.9,396.41,317.12
J&KBANK,8.1329,103.69,9,48.3,5.71,119.24,95.39
HINDUNILVR,8.0175,2400.9,0,46.0,4.69,2761.03,2208.83
BEL,7.6715,415.95,2,52.3,5.77,478.34,382.67
BANKBARODA,7.5783,302.0,3,47.1,5.01,347.3,277.84
TORNTPHARM,7.5162,3997.4,0,54.0,5.37,4597.01,3677.61
