config,roi,trades
"{'hold_days': 10, 'stop_loss': 0.1, 'target_profit': 0.2, 'min_prob': 0.55}",22.7660495519829,79
"{'hold_days': 5, 'stop_loss': 0.03, 'target_profit': 100.0, 'min_prob': 0.55}",22.031101886009242,137
"{'hold_days': 5, 'stop_loss': 0.05, 'target_profit': 100.0, 'min_prob': 0.55}",21.425832034202614,125
"{'hold_days': 10, 'stop_loss': 0.1, 'target_profit': 100.0, 'min_prob': 0.55}",20.348583585559883,78
"{'hold_days': 5, 'stop_loss': 0.05, 'target_profit': 0.2, 'min_prob': 0.55}",19.88932459212499,127
"{'hold_days': 5, 'stop_loss': 0.03, 'target_profit': 0.2, 'min_prob': 0.55}",19.78356675466163,140
"{'hold_days': 20, 'stop_loss': 0.05, 'target_profit': 0.2, 'min_prob': 0.55}",19.0790293217774,65
"{'hold_days': 5, 'stop_loss': 0.1, 'target_profit': 100.0, 'min_prob': 0.55}",18.78174558712769,117
"{'hold_days': 5, 'stop_loss': 0.1, 'target_profit': 0.2, 'min_prob': 0.55}",16.0682456968193,118
"{'hold_days': 20, 'stop_loss': 0.05, 'target_profit': 100.0, 'min_prob': 0.55}",14.635965639953632,62
"{'hold_days': 10, 'stop_loss': 0.03, 'target_profit': 100.0, 'min_prob': 0.55}",13.638716234115591,101
"{'hold_days': 10, 'stop_loss': 0.1, 'target_profit': 0.1, 'min_prob': 0.55}",13.318213635585737,83
"{'hold_days': 5, 'stop_loss': 0.03, 'target_profit': 0.1, 'min_prob': 0.55}",12.634052825057996,144
"{'hold_days': 5, 'stop_loss': 0.03, 'target_profit': 0.05, 'min_prob': 0.55}",12.087110353763622,159
"{'hold_days': 20, 'stop_loss': 0.03, 'target_profit': 0.2, 'min_prob': 0.55}",11.916411675704964,78
"{'hold_days': 5, 'stop_loss': 0.05, 'target_profit': 0.1, 'min_prob': 0.55}",11.415389192916889,131
"{'hold_days': 10, 'stop_loss': 0.05, 'target_profit': 0.2, 'min_prob': 0.55}",10.630191530807512,90
"{'hold_days': 10, 'stop_loss': 0.03, 'target_profit': 0.2, 'min_prob': 0.55}",8.766266425216672,104
"{'hold_days': 10, 'stop_loss': 0.05, 'target_profit': 100.0, 'min_prob': 0.55}",8.008563996688826,89
"{'hold_days': 10, 'stop_loss': 0.03, 'target_profit': 0.05, 'min_prob': 0.55}",6.1593859729499965,134
"{'hold_days': 20, 'stop_loss': 0.05, 'target_profit': 0.1, 'min_prob': 0.55}",5.690943102722187,73
"{'hold_days': 20, 'stop_loss': 0.03, 'target_profit': 0.05, 'min_prob': 0.55}",4.656670463336893,118
"{'hold_days': 5, 'stop_loss': 0.05, 'target_profit': 0.05, 'min_prob': 0.55}",4.019824545108859,147
"{'hold_days': 20, 'stop_loss': 0.05, 'target_profit': 0.05, 'min_prob': 0.55}",3.745356929367088,100
"{'hold_days': 20, 'stop_loss': 0.03, 'target_profit': 100.0, 'min_prob': 0.55}",3.7391683698272975,72
"{'hold_days': 20, 'stop_loss': 0.03, 'target_profit': 0.1, 'min_prob': 0.55}",1.795263872207637,86
"{'hold_days': 10, 'stop_loss': 0.05, 'target_profit': 0.05, 'min_prob': 0.55}",1.6960148477364274,122
"{'hold_days': 5, 'stop_loss': 0.1, 'target_profit': 0.1, 'min_prob': 0.55}",0.9631143068733363,121
"{'hold_days': 10, 'stop_loss': 0.05, 'target_profit': 0.1, 'min_prob': 0.55}",-2.0877355498810357,99
"{'hold_days': 10, 'stop_loss': 0.1, 'target_profit': 0.05, 'min_prob': 0.55}",-2.2605100214500418,97
"{'hold_days': 10, 'stop_loss': 0.03, 'target_profit': 0.1, 'min_prob': 0.55}",-2.3471195343170983,110
"{'hold_days': 20, 'stop_loss': 0.1, 'target_profit': 100.0, 'min_prob': 0.55}",-3.7756216170043917,48
"{'hold_days': 20, 'stop_loss': 0.1, 'target_profit': 0.2, 'min_prob': 0.55}",-4.324698109924328,51
"{'hold_days': 20, 'stop_loss': 0.1, 'target_profit': 0.1, 'min_prob': 0.55}",-12.637025068527233,55
"{'hold_days': 20, 'stop_loss': 0.1, 'target_profit': 0.05, 'min_prob': 0.55}",-13.719837249206583,65
"{'hold_days': 5, 'stop_loss': 0.1, 'target_profit': 0.05, 'min_prob': 0.55}",-16.380138667915336,118
