Symbol,Ret,Reason,Days
KIMS.NS,-0.11862574105331858,Initial,8
KOTAKBANK.NS,-0.06822315692082814,Initial,8
AAVAS.NS,-0.10759834445654681,Initial,6
UPL.NS,-0.06792173382947775,Initial,19
HEG.NS,-0.0830905068665253,Initial,22
RPOWER.NS,-0.08832006369945933,Breakeven,38
MANAPPURAM.NS,-0.04906738580828085,Initial,37
NH.NS,-0.0808130119698447,Breakeven,29
ASTRAZEN.NS,-0.05302304943974401,Breakeven,45
LLOYDSME.NS,0.04648270625469486,Time Laggard,62
ADANIPOWER.NS,-0.15548134070111064,Initial,1
INTELLECT.NS,-0.08484273912294982,Initial,3
POONAWALLA.NS,-0.08324802314855229,Initial,11
GRSE.NS,-0.0468627007401875,Initial,26
FORTIS.NS,-0.04652899394295207,Initial,21
GVT&D.NS,-0.08945313162242985,Initial,13
HBLENGINE.NS,-0.12023433859924237,Breakeven,21
