Symbol,Entry,Exit,Return,Profit,Date
PGEL.NS,995.9609985351562,856.5724487304688,-14.0,-1400.0,2025-01-06
BSE.NS,1691.0,1986.9998779296875,17.5,1750.0,2025-01-06
PAYTM.NS,969.0499877929688,898.5999755859375,-7.27,-727.0,2025-01-06
ITI.NS,544.3499755859375,383.29998779296875,-29.59,-2959.0,2025-01-06
LLOYDSME.NS,1383.3162841796875,1395.0574951171875,0.85,85.0,2025-01-06
BSE.NS,1986.9998779296875,1795.6865234375,-9.63,-900.0,2025-01-20
LLOYDSME.NS,1395.0574951171875,1227.032958984375,-12.04,-1126.0,2025-01-20
AMBER.NS,7049.5498046875,6617.10009765625,-6.13,-574.0,2025-01-20
TARIL.NS,534.6532592773438,421.92498779296875,-21.08,-1971.0,2025-01-20
ANANTRAJ.NS,918.494384765625,637.6325073242188,-30.58,-2859.0,2025-01-20
WOCKPHARMA.NS,1572.75,1410.25,-10.33,-813.0,2025-02-03
BLUEJET.NS,764.9542236328125,752.9752807617188,-1.57,-123.0,2025-02-03
BSE.NS,1799.4578857421875,1730.7745361328125,-3.82,-300.0,2025-02-03
AMBER.NS,6528.39990234375,5779.85009765625,-11.47,-902.0,2025-02-03
ZENSARTECH.NS,880.013916015625,808.3079833984375,-8.15,-641.0,2025-02-03
BLUEJET.NS,752.9752807617188,786.0670776367188,4.39,321.0,2025-02-17
WOCKPHARMA.NS,1410.25,1223.550048828125,-13.24,-968.0,2025-02-17
REDINGTON.NS,237.62173461914062,223.5645751953125,-5.92,-432.0,2025-02-17
PGEL.NS,782.655029296875,840.7794189453125,7.43,543.0,2025-02-17
NAVINFLUOR.NS,4097.81689453125,3890.587158203125,-5.06,-370.0,2025-02-17
BLUEJET.NS,769.3464965820312,883.2960205078125,14.81,1056.0,2025-03-03
REDINGTON.NS,227.16445922851562,220.6787872314453,-2.86,-203.0,2025-03-03
PGEL.NS,806.0946655273438,834.9319458007812,3.58,255.0,2025-03-03
MANAPPURAM.NS,197.9225616455078,208.3803253173828,5.28,377.0,2025-03-03
NH.NS,1611.803955078125,1574.4420166015625,-2.32,-165.0,2025-03-03
BLUEJET.NS,883.2960205078125,839.1237182617188,-5.0,-370.0,2025-03-17
MANAPPURAM.NS,208.3803253173828,230.7572021484375,10.74,794.0,2025-03-17
SRF.NS,3007.359375,2875.73193359375,-4.38,-323.0,2025-03-17
NH.NS,1574.4420166015625,1672.8602294921875,6.25,462.0,2025-03-17
PGEL.NS,834.9319458007812,901.2027587890625,7.94,587.0,2025-03-17
BLUEJET.NS,709.8511352539062,767.6494750976562,8.14,621.0,2025-04-28
NH.NS,1793.974853515625,1771.0289306640625,-1.28,-97.0,2025-04-28
GODFRYPHLP.NS,2678.96630859375,2964.962158203125,10.68,814.0,2025-04-28
ASTRAZEN.NS,8809.8876953125,8161.60302734375,-7.36,-561.0,2025-04-28
FORCEMOT.NS,8993.64453125,10515.28515625,16.92,1289.0,2025-04-28
GODFRYPHLP.NS,2836.222900390625,2728.74755859375,-3.79,-304.0,2025-05-12
FORCEMOT.NS,10733.802734375,10559.1884765625,-1.63,-131.0,2025-05-12
BDL.NS,1569.2662353515625,1908.629150390625,21.63,1737.0,2025-05-12
CHAMBLFERT.NS,675.5905151367188,575.0874633789062,-14.88,-1195.0,2025-05-12
NH.NS,1776.715576171875,1772.7249755859375,-0.22,-18.0,2025-05-12
GRSE.NS,2715.79443359375,3257.30029296875,19.94,1605.0,2025-05-26
GODFRYPHLP.NS,2728.74755859375,2747.20947265625,0.68,54.0,2025-05-26
SOLARINDS.NS,15875.498046875,16816.93359375,5.93,477.0,2025-05-26
MAZDOCK.NS,3539.233642578125,3358.693359375,-5.1,-411.0,2025-05-26
BDL.NS,1908.629150390625,1947.8133544921875,2.05,165.0,2025-05-26
GRSE.NS,3257.30029296875,3477.965576171875,6.77,571.0,2025-06-09
GODFRYPHLP.NS,2747.20947265625,2631.16259765625,-4.22,-356.0,2025-06-09
FORCEMOT.NS,12135.208984375,14301.4267578125,17.85,1505.0,2025-06-09
SOLARINDS.NS,16816.93359375,17045.796875,1.36,115.0,2025-06-09
RPOWER.NS,64.62000274658203,62.599998474121094,-3.13,-264.0,2025-06-09
GRSE.NS,3477.965576171875,2879.699951171875,-17.2,-1504.0,2025-06-23
FORCEMOT.NS,14301.4267578125,14807.3095703125,3.54,309.0,2025-06-23
SOLARINDS.NS,17045.796875,16707.0,-1.99,-174.0,2025-06-23
COCHINSHIP.NS,2222.883544921875,2044.1441650390625,-8.04,-703.0,2025-06-23
BDL.NS,1930.4202880859375,1942.5155029296875,0.63,55.0,2025-06-23
GRSE.NS,2879.699951171875,2575.289794921875,-10.57,-882.0,2025-07-07
FORCEMOT.NS,14807.3095703125,17170.09375,15.96,1331.0,2025-07-07
BDL.NS,1942.5155029296875,1717.706298828125,-11.57,-965.0,2025-07-07
DATAPATTNS.NS,2954.036865234375,2720.038818359375,-7.92,-661.0,2025-07-07
SOLARINDS.NS,16707.0,14926.0,-10.66,-889.0,2025-07-07
FORCEMOT.NS,17170.09375,16975.5234375,-1.13,-90.0,2025-07-21
AIIL.NS,577.0,558.6400146484375,-3.18,-252.0,2025-07-21
JMFINANCIL.NS,167.83029174804688,155.66983032226562,-7.25,-574.0,2025-07-21
GRSE.NS,2575.289794921875,2613.52783203125,1.48,118.0,2025-07-21
BSE.NS,2521.300048828125,2486.60009765625,-1.38,-109.0,2025-07-21
FORCEMOT.NS,16975.5234375,20823.029296875,22.67,1756.0,2025-08-04
DELHIVERY.NS,461.6000061035156,471.70001220703125,2.19,169.0,2025-08-04
AIIL.NS,558.6400146484375,581.9600219726562,4.17,323.0,2025-08-04
POWERINDIA.NS,21193.853515625,19705.0,-7.02,-544.0,2025-08-04
GVT&D.NS,2772.719970703125,2814.64306640625,1.51,117.0,2025-08-04
FORCEMOT.NS,19903.05859375,19454.05078125,-2.26,-183.0,2025-08-18
GVT&D.NS,2825.623046875,2752.89990234375,-2.57,-209.0,2025-08-18
JMFINANCIL.NS,184.49647521972656,181.4662628173828,-1.64,-133.0,2025-08-18
DELHIVERY.NS,465.20001220703125,472.04998779296875,1.47,119.0,2025-08-18
AIIL.NS,593.4600219726562,635.9400024414062,7.16,581.0,2025-08-18
FORCEMOT.NS,19049.943359375,18780.0,-1.42,-115.0,2025-09-01
GVT&D.NS,2796.5,2851.0,1.95,159.0,2025-09-01
