Date,Timeframe,Symbol,Score,Price,Qty,RSI,ROC_20,Target,SL
2026-01-16 15:23,1-2_weeks,ICICIBANK,7.6333,1418.4,7,64.5,4.88,1631.16,1304.93
2026-01-16 15:54,3-7_days,SHRIRAMFIN,17.2598,995.45,1,62.7,14.49,1045.22,945.68
2026-01-16 16:20,3-7_days,SHRIRAMFIN,17.2598,995.45,1,62.7,14.49,1045.22,945.68
2026-01-16 19:32,3-7_days,SHRIRAMFIN,17.2598,995.45,1,62.7,14.49,1045.22,945.68
2026-01-17 14:39,3-7_days,HINDCOPPER,45.9937,561.45,1,66.2,44.87,589.52,533.38
2026-01-19 16:14,1-2_weeks,JINDALSAW,46.6762,179.29,5,63.4,11.42,206.18,164.95
2026-01-20 15:40,1-2_weeks,HINDCOPPER,31.5376,531.95,1,53.5,30.44,611.74,489.39
2026-01-20 15:42,3-7_days,INFY,1.7134,1658.9,0,58.3,-0.56,1741.85,1575.96
2026-01-20 15:52,3-7_days,HINDZINC,18.6048,680.75,1,66.5,11.63,714.79,646.71
2026-01-20 16:02,1_month,HINDZINC,46.8403,680.75,1,63.5,39.87,850.94,599.06
2026-01-20 16:15,3-7_days,HINDZINC,18.6048,680.75,1,66.5,11.63,714.79,646.71
2026-01-28 03:55,1-2_weeks,KARURVYSYA,35.6592,292.55,3,61.8,14.9,336.43,269.15
